name,web_pages,domains,country,state-province
Sanjay Gandhi Postgraduate lnstitute of Medical Sciences,['http://www.sgpgi.ac.in/'],['sgpgi.ac.in'],India,
South Gujarat University,['http://www.sgu.ernet.in/'],['sgu.ernet.in'],India,
"Shobhit University, Meerut",['http://www.shobhituniversity.ac.in/'],['shobhituniversity.ac.in'],India,
Shridhar University,['http://www.shridharuniversity.ac.in/'],['shridharuniversity.ac.in'],India,
Vikrama Simhapuri University,['http://www.simhapuriuniv.ac.in/'],['simhapuriuniv.ac.in'],India,
Symbiosis International University,['http://www.siu.edu.in/'],['siu.edu.in'],India,
Shri Jagannath Sanskrit University,['http://www.sjsv.nic.in/'],['sjsv.nic.in'],India,
Sido Kanhu Murmu University,['http://www.skmu.edu.in/'],['skmu.edu.in'],India,
Sher-E-Kashmir University of Agricultural Sciences and Technology,['http://www.skuastkashmir.ac.in/'],['skuastkashmir.ac.in'],India,
Sri Krishnadevaraya University,['http://skuniv.ap.nic.in/'],['skuniv.ap.nic.in'],India,
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,['http://www.slbsrsv.ac.in/'],['slbsrsv.ac.in'],India,
SMK Fomra Institute of Technology,['http://www.smkfomra.net/'],['smkfomra.net'],India,
"Sikkim Manipal University of Health, Medical and Technological Sciences",['http://www.smu.edu.in/'],['smu.edu.in'],India,Sikkim
Shreemati Nathibai Damodar Thackersey Women's University,['http://www.sndt.edu/'],['sndt.edu'],India,
Sikha 'O' Anushandhan University,['http://www.soauniversity.ac.in/'],['soauniversity.ac.in'],India,
South Asian University,['http://www.southasianuniversity.org/'],['southasianuniversity.org'],India,
School of Planning and Architecture,['http://www.spa.ac.in/'],['spa.ac.in'],India,Delhi
Periyar University,['http://www.spuniv.org/'],['spuniv.org'],India,Tamil Nadu
Sardar Patel University,['http://www.spuvvn.edu/'],['spuvvn.edu'],India,
Sri Sathya Sai Institute of Higher Learning,['http://www.srisathyasai.org.in/'],['srisathyasai.org.in'],India,
Sree Rama Krishna Degree College,['http://www.srkdc.org/'],['srkdc.org'],India,
SRM Institute Of Science & Technology,['http://www.srmuniv.ac.in/'],['srmuniv.ac.in'],India,Tamil Nadu
Swami Ramanand Teerth Marathwada University,['http://www.srtmun.org/'],['srtmun.org'],India,
